排名,代码,名称,综合评分,基本面,技术面,资金面,预测方向,目标价低,目标价高,风险等级
845,300790.SZ,宇瞳光学,40.4,57.2,16.2,47.4,看跌,26.08,27.21,中等风险
846,300004.SZ,南风股份,40.3,41.1,30.5,52.7,看跌,13.71,14.66,高风险
847,300629.SZ,新劲刚,40.3,44.2,32.8,44.6,看跌,24.41,25.60,高风险
848,300705.SZ,九典制药,40.3,62.9,5.0,53.5,偏空震荡,15.07,15.69,低风险
849,300318.SZ,博晖创新,40.2,31.1,44.0,49.4,偏空震荡,6.25,6.52,高风险
850,300963.SZ,中洲特材,40.2,37.2,43.2,40.7,看跌,19.32,19.81,中等风险
851,300759.SZ,康龙化成,40.2,54.6,18.1,48.1,看跌,29.83,30.41,中等风险
852,300922.SZ,天秦装备,40.2,57.5,16.2,46.0,看跌,22.22,23.31,中等风险
853,300083.SZ,创世纪,40.1,60.5,5.0,56.6,看跌,8.55,9.09,中等风险
854,300436.SZ,广生堂,40.1,33.4,42.8,47.1,偏空震荡,99.33,107.68,高风险
855,300455.SZ,航天智装,40.1,31.4,44.4,48.0,偏空震荡,27.14,27.15,高风险
856,300302.SZ,同有科技,39.8,44.2,29.6,47.1,看跌,18.25,19.93,高风险
857,300466.SZ,赛摩智能,39.8,44.9,28.3,47.9,看跌,9.68,10.15,高风险
858,300545.SZ,联得装备,39.8,46.6,26.7,47.2,看跌,29.50,32.40,高风险
859,300068.SZ,南都电源,39.7,30.2,44.0,48.7,偏空震荡,14.66,15.59,中等风险
860,300135.SZ,宝利国际,39.7,30.5,42.1,50.9,看跌,4.04,4.07,中等风险
861,300457.SZ,赢合科技,39.5,46.5,27.1,45.8,看跌,26.82,28.60,高风险
862,300670.SZ,大烨智能,39.5,28.5,44.1,50.5,偏空震荡,6.82,6.95,中等风险
863,300765.SZ,新诺威,39.5,34.8,40.1,46.3,看跌,33.91,35.77,高风险
864,300021.SZ,大禹节水,39.4,39.8,34.0,46.4,看跌,4.67,4.73,中等风险
865,300034.SZ,钢研高纳,39.4,41.0,30.8,48.8,看跌,19.80,21.30,高风险
866,300062.SZ,中能电气,39.3,47.9,23.4,47.8,看跌,8.58,8.90,高风险
867,300439.SZ,美康生物,39.3,45.2,24.7,50.2,看跌,10.03,10.30,低风险
868,300024.SZ,机器人,39.2,33.4,36.2,52.5,偏空震荡,17.23,18.35,中等风险
869,300252.SZ,金信诺,39.2,47.8,24.1,46.7,看跌,14.32,15.08,高风险
870,300077.SZ,国民技术,39.1,38.1,33.8,48.1,看跌,21.23,22.58,高风险
871,300158.SZ,振东制药,38.9,46.1,25.3,46.3,看跌,5.58,6.04,高风险
872,300345.SZ,华民股份,38.9,32.8,44.0,41.6,偏空震荡,6.53,7.27,高风险
873,300281.SZ,金明精机,38.9,41.1,24.7,55.2,看跌,7.48,7.85,中等风险
874,300841.SZ,康华生物,38.9,46.8,24.1,46.8,看跌,67.64,72.31,中等风险
875,300306.SZ,远方信息,38.8,52.1,16.2,49.3,看跌,13.70,14.34,中等风险
876,300578.SZ,会畅科技,38.8,40.9,29.7,48.0,看跌,24.07,25.57,高风险
877,300978.SZ,东箭科技,38.8,55.8,16.2,43.2,看跌,12.05,12.48,中等风险
878,300175.SZ,ST朗源,38.7,46.5,19.8,52.6,偏空震荡,6.21,6.41,中等风险
879,300266.SZ,兴源环境,38.7,35.8,36.5,46.5,看跌,2.55,2.52,中等风险
880,300935.SZ,盈建科,38.7,38.9,29.6,51.2,看跌,34.88,37.54,高风险
881,300593.SZ,新雷能,38.6,47.4,24.1,45.0,看跌,27.88,30.01,高风险
882,300212.SZ,易华录,38.5,31.5,42.1,44.7,看跌,10.95,13.73,高风险
883,300818.SZ,耐普矿机,38.5,38.0,30.5,50.7,看跌,37.71,44.80,高风险
884,300795.SZ,米奥会展,38.5,48.6,19.8,48.4,看跌,13.76,14.14,中等风险
885,300261.SZ,雅本化学,38.4,44.2,21.5,52.8,看跌,6.85,7.13,高风险
886,300327.SZ,中颖电子,38.2,44.4,24.1,48.2,看跌,28.72,31.07,高风险
887,300385.SZ,雪浪环境,38.2,27.1,44.1,47.8,偏空震荡,9.08,10.36,高风险
888,300844.SZ,山水比德,38.2,36.5,30.8,51.2,看跌,40.87,43.36,高风险
889,300700.SZ,岱勒新材,38.0,39.5,30.0,46.7,看跌,13.85,14.00,高风险
890,300962.SZ,中金辐照,38.0,54.9,12.4,46.9,看跌,17.05,17.43,中等风险
891,300391.SZ,*ST长药,37.9,37.1,29.8,50.4,看跌,0.73,0.92,高风险
892,300712.SZ,永福股份,37.8,42.6,26.5,46.0,看跌,27.99,29.03,中等风险
893,300275.SZ,梅安森,37.7,43.5,24.1,47.3,看跌,12.39,12.99,中等风险
894,300521.SZ,爱司凯,37.6,37.9,27.7,50.9,看跌,30.70,33.68,高风险
895,300635.SZ,中达安,37.6,37.4,29.0,50.1,看跌,13.32,14.61,高风险
896,300667.SZ,必创科技,37.6,38.9,28.1,48.9,看跌,18.13,19.32,高风险
897,300665.SZ,飞鹿股份,37.1,41.8,29.8,40.0,看跌,8.49,8.69,中等风险
898,300640.SZ,德艺文创,37.1,50.0,16.2,45.7,看跌,7.64,7.98,中等风险
899,300732.SZ,设研院,37.0,46.2,16.2,51.2,看跌,7.48,7.78,中等风险
900,300968.SZ,格林精密,36.8,46.0,16.2,50.8,看跌,13.58,14.17,中等风险
901,300301.SZ,ST长方,36.6,25.8,40.4,48.6,偏空震荡,2.38,2.40,中等风险
902,300868.SZ,杰美特,36.6,36.0,29.7,47.3,看跌,31.13,33.01,高风险
903,300599.SZ,雄塑科技,36.6,45.9,21.5,42.8,看跌,9.71,10.39,高风险
904,300933.SZ,中辰股份,36.6,38.4,25.9,48.7,看跌,8.63,9.13,高风险
905,300342.SZ,天银机电,36.5,37.8,27.2,47.4,看跌,47.85,48.49,高风险
906,300425.SZ,中建环能,36.5,44.0,17.5,51.3,看跌,5.14,5.23,低风险
907,300474.SZ,景嘉微,36.3,41.2,24.1,45.5,看跌,69.58,73.12,中等风险
908,300270.SZ,中威电子,36.1,38.9,25.9,46.1,看跌,11.23,11.86,高风险
909,300581.SZ,晨曦航空,36.1,35.5,27.4,49.1,看跌,15.27,16.10,中等风险
910,300026.SZ,红日药业,35.9,45.6,14.0,50.9,看跌,3.57,3.67,中等风险
911,300316.SZ,晶盛机电,35.7,42.0,21.6,45.3,看跌,42.30,49.74,高风险
912,300005.SZ,探路者,35.5,38.5,21.5,50.4,看跌,13.42,14.04,高风险
913,300376.SZ,易事特,35.5,44.7,16.2,47.6,看跌,6.51,6.93,中等风险
914,300180.SZ,华峰超纤,34.9,44.0,16.2,46.6,看跌,6.38,6.65,中等风险
915,300339.SZ,润和软件,34.6,45.0,16.2,43.9,看跌,48.00,50.21,中等风险
916,300411.SZ,金盾股份,34.6,43.8,16.2,45.7,看跌,11.28,11.71,中等风险
917,300333.SZ,兆日科技,34.5,40.4,16.2,50.5,看跌,10.55,10.99,中等风险
918,300897.SZ,山科智能,34.1,41.0,16.2,48.0,看跌,25.61,26.65,中等风险
919,300169.SZ,天晟新材,33.9,30.8,27.1,48.2,看跌,6.57,6.93,高风险
920,300366.SZ,ST创意,33.9,40.4,16.2,48.1,看跌,6.45,6.74,中等风险
921,300555.SZ,ST路通,33.8,38.9,16.2,50.4,看跌,14.08,14.67,中等风险
922,300213.SZ,佳讯飞鸿,33.6,36.0,18.5,51.0,看跌,8.98,9.45,中等风险
923,300430.SZ,诚益通,33.3,37.0,16.2,51.3,偏空震荡,21.12,22.14,中等风险
924,300061.SZ,旗天科技,33.0,32.2,23.0,48.1,看跌,10.58,11.02,高风险
925,300159.SZ,*ST新研,32.9,35.8,19.3,47.3,看跌,3.04,3.10,中等风险
926,300396.SZ,迪瑞医疗,32.8,36.0,16.2,51.1,看跌,12.91,13.37,中等风险
927,300027.SZ,华谊兄弟,31.2,25.8,23.0,51.3,看跌,1.80,2.05,高风险
928,300293.SZ,蓝英装备,31.1,31.0,19.1,47.9,看跌,20.18,20.78,中等风险
929,300120.SZ,经纬辉开,31.0,34.5,16.2,46.2,看跌,8.11,8.66,中等风险
930,300368.SZ,汇金股份,30.7,31.0,16.2,50.5,看跌,12.68,13.08,中等风险
