排名,代码,名称,综合评分,基本面,技术面,资金面,预测方向,目标价低,目标价高,风险等级
189,600137.SH,浪莎股份,64.2,49.4,95.0,44.9,偏多震荡,21.00,22.66,中等风险
190,600724.SH,XD宁波富,64.2,55.4,83.8,50.9,看涨,6.51,6.87,中等风险
191,002209.SZ,达意隆,64.2,67.0,75.9,43.4,看涨,15.93,17.09,中等风险
192,002521.SZ,齐峰新材,64.2,51.8,89.4,48.9,看涨,8.43,8.71,低风险
193,001219.SZ,青岛食品,64.2,57.6,78.5,54.9,看涨,14.50,15.16,中等风险
194,301528.SZ,多浦乐,64.2,60.9,78.8,49.2,看涨,67.88,72.55,中等风险
195,600261.SH,阳光照明,64.1,48.0,89.4,54.5,看涨,3.66,3.86,中等风险
196,600483.SH,福能股份,64.1,63.2,70.2,57.0,看涨,9.04,9.26,低风险
197,002881.SZ,美格智能,64.1,59.5,74.0,57.6,看涨,46.93,48.92,中等风险
198,600771.SH,广誉远,64.0,55.5,81.1,53.7,看涨,17.58,18.44,中等风险
199,002117.SZ,东港股份,64.0,59.5,80.2,48.5,震荡整理,11.43,11.93,低风险
200,301372.SZ,科净源,64.0,55.3,81.5,53.6,看涨,27.68,28.86,中等风险
201,600015.SH,华夏银行,63.9,59.0,82.6,45.4,偏多震荡,6.65,6.58,低风险
202,002507.SZ,涪陵榨菜,63.9,62.5,75.9,49.4,偏多震荡,12.95,13.52,低风险
203,301070.SZ,开勒股份,63.9,52.8,82.0,56.4,看涨,58.68,62.89,中等风险
204,301356.SZ,天振股份,63.9,71.0,68.8,45.7,偏多震荡,23.98,24.37,中等风险
205,000729.SZ,燕京啤酒,63.8,65.5,74.1,46.7,偏多震荡,12.00,12.93,中等风险
206,000917.SZ,电广传媒,63.8,57.6,73.6,60.1,看涨,11.13,11.93,高风险
207,600269.SH,赣粤高速,63.8,66.8,68.5,52.4,看涨,4.86,5.00,低风险
208,600533.SH,栖霞建设,63.8,57.8,80.2,50.6,偏多震荡,2.64,2.72,中等风险
209,002452.SZ,长高电新,63.8,62.4,75.3,50.1,看涨,9.90,10.54,中等风险
210,603085.SH,天成自控,63.8,52.9,89.4,45.2,偏多震荡,11.73,12.16,中等风险
211,001222.SZ,源飞宠物,63.8,59.5,78.5,49.9,看涨,21.78,22.88,中等风险
212,001314.SZ,亿道信息,63.8,47.1,89.4,54.7,看涨,47.28,49.65,中等风险
213,603014.SH,威高血净,63.8,56.1,82.0,50.7,偏多震荡,40.27,41.94,低风险
214,600052.SH,东望时代,63.7,55.2,83.8,49.3,震荡整理,4.37,4.79,中等风险
215,600637.SH,东方明珠,63.7,49.6,83.8,58.0,看涨,11.13,12.14,中等风险
216,601107.SH,四川成渝,63.7,58.9,81.5,46.4,看涨,6.24,6.65,中等风险
217,600999.SH,招商证券,63.7,60.0,75.9,52.6,看涨,16.60,17.30,低风险
218,300030.SZ,阳普医疗,63.7,51.5,89.4,47.4,看涨,8.17,8.45,中等风险
219,603797.SH,联泰环保,63.7,53.4,83.8,52.2,看涨,4.90,5.12,中等风险
220,301020.SZ,密封科技,63.7,56.5,83.8,47.0,看涨,23.04,24.02,中等风险
221,301287.SZ,康力源,63.7,56.6,81.5,50.3,看涨,44.61,46.78,中等风险
222,600674.SH,川投能源,63.6,53.8,81.1,54.8,看涨,13.69,14.18,低风险
223,002067.SZ,景兴纸业,63.6,49.1,87.5,53.5,看涨,5.63,6.02,中等风险
224,002079.SZ,苏州固锝,63.6,56.8,74.0,59.8,看涨,10.86,11.92,高风险
225,300047.SZ,天源迪科,63.6,52.6,83.8,52.9,看涨,13.66,14.39,中等风险
226,002817.SZ,黄山胶囊,63.6,55.8,81.5,51.1,看涨,8.10,8.53,中等风险
227,002962.SZ,五方光电,63.6,50.0,89.4,49.1,看涨,15.26,15.84,中等风险
228,003043.SZ,华亚智能,63.6,52.5,89.4,45.2,偏多震荡,51.42,54.98,中等风险
229,605499.SH,东鹏饮料,63.6,64.2,75.9,45.3,偏多震荡,253.51,276.09,中等风险
230,301063.SZ,海锅股份,63.6,64.7,75.9,44.7,偏多震荡,25.55,27.09,中等风险
231,301170.SZ,锡南科技,63.6,54.5,83.8,49.7,看涨,29.98,31.20,中等风险
232,000831.SZ,中国稀土,63.5,59.2,70.2,60.9,看涨,53.15,59.12,高风险
233,000957.SZ,中通客车,63.5,64.3,74.1,47.3,偏多震荡,11.59,12.19,中等风险
234,600128.SH,苏豪弘业,63.5,53.4,81.5,54.5,看涨,11.39,11.92,中等风险
235,002003.SZ,伟星股份,63.5,62.1,75.9,48.2,偏多震荡,10.35,10.85,低风险
236,002247.SZ,聚力文化,63.5,45.7,95.0,47.8,偏多震荡,2.84,3.04,中等风险
237,601018.SH,宁波港,63.5,55.6,81.5,51.0,看涨,3.98,4.18,中等风险
238,300148.SZ,天舟文化,63.5,68.5,70.2,46.3,偏多震荡,5.04,5.66,高风险
239,000333.SZ,美的集团,63.5,64.2,75.9,44.9,偏多震荡,77.36,80.74,低风险
240,601968.SH,宝钢包装,63.5,51.4,83.8,54.4,看涨,5.85,6.16,中等风险
241,605028.SH,世茂能源,63.5,55.9,82.0,49.9,看涨,26.28,28.31,中等风险
242,000425.SZ,徐工机械,63.4,55.5,80.9,51.4,看涨,11.49,11.48,中等风险
243,600136.SH,ST明诚,63.4,45.0,95.0,48.5,偏多震荡,1.75,1.87,中等风险
244,600603.SH,广汇物流,63.4,47.8,89.4,51.9,看涨,6.63,7.01,中等风险
245,002603.SZ,以岭药业,63.4,61.4,75.9,49.0,偏多震荡,17.25,18.43,中等风险
246,601100.SH,恒立液压,63.4,60.2,81.5,43.3,偏多震荡,113.33,123.75,中等风险
247,300473.SZ,德尔股份,63.4,63.0,70.2,54.5,看涨,34.47,35.44,中等风险
248,300956.SZ,英力股份,63.4,56.6,83.8,45.6,偏多震荡,17.62,18.53,中等风险
249,688143.SH,长盈通,63.4,65.5,74.0,45.3,看涨,53.98,64.20,高风险
250,301578.SZ,辰奕智能,63.4,45.1,95.0,48.6,看涨,35.95,36.98,中等风险
251,002211.SZ,ST宏达,63.3,42.4,95.0,52.5,看涨,3.51,3.67,中等风险
252,605258.SH,协和电子,63.3,54.6,83.8,48.7,看涨,33.00,34.50,中等风险
253,300967.SZ,晓鸣股份,63.3,75.8,63.3,43.5,偏多震荡,18.20,21.74,高风险
254,000550.SZ,江铃汽车,63.2,57.0,76.9,53.9,看涨,17.70,18.52,低风险
255,600007.SH,中国国贸,63.2,61.0,74.1,51.5,看涨,20.26,21.05,低风险
256,600375.SH,汉马科技,63.2,57.8,83.8,43.1,偏多震荡,5.68,6.04,中等风险
257,601628.SH,中国人寿,63.2,71.7,57.0,58.4,看涨,46.27,50.02,中等风险
258,002250.SZ,联化科技,63.2,63.2,66.5,58.7,看涨,17.03,18.53,高风险
259,002595.SZ,豪迈科技,63.2,66.2,59.8,63.0,看涨,91.09,92.50,高风险
260,300240.SZ,飞力达,63.2,55.2,81.5,50.4,看涨,7.76,8.12,中等风险
261,300314.SZ,戴维医疗,63.2,55.9,80.2,51.1,看涨,14.02,14.62,中等风险
262,600989.SH,宝丰能源,63.2,70.2,59.7,57.1,看涨,22.25,24.30,高风险
263,605298.SH,必得科技,63.2,68.2,70.2,45.6,看涨,42.62,44.42,中等风险
264,001286.SZ,陕西能源,63.2,55.2,83.8,47.3,偏多震荡,9.71,10.12,中等风险
265,920106.BJ,林泰新材,63.2,78.2,55.6,49.8,偏多震荡,75.24,80.12,中等风险
266,600186.SH,莲花控股,63.1,63.6,63.5,61.8,看涨,6.17,6.30,高风险
267,600690.SH,海尔智家,63.1,61.0,67.4,60.5,看涨,25.35,26.49,低风险
268,002624.SZ,完美世界,63.1,63.2,66.5,58.0,看涨,20.37,22.45,高风险
269,002748.SZ,世龙实业,63.1,55.8,83.8,45.8,看涨,12.28,12.92,中等风险
270,603203.SH,快克智能,63.1,64.5,70.2,50.9,看涨,38.02,40.86,中等风险
271,603605.SH,珀莱雅,63.1,60.1,74.1,52.6,看涨,71.30,76.63,中等风险
272,301033.SZ,迈普医学,63.1,69.8,64.1,50.9,偏多震荡,71.02,76.10,中等风险
273,301396.SZ,宏景科技,63.1,60.8,70.2,56.8,看涨,90.30,114.45,高风险
274,001359.SZ,平安电工,63.1,58.7,70.2,60.0,看涨,72.76,82.45,高风险
275,000888.SZ,峨眉山Ａ,63.0,57.8,73.2,57.1,看涨,13.29,14.30,中等风险
276,600763.SH,通策医疗,63.0,59.4,73.2,54.5,看涨,45.70,50.20,中等风险
277,300214.SZ,日科化学,63.0,53.4,83.8,49.3,看涨,7.18,7.66,中等风险
278,002725.SZ,跃岭股份,63.0,59.6,78.1,47.5,偏多震荡,15.05,15.67,中等风险
279,605555.SH,德昌股份,63.0,50.5,91.2,43.6,看涨,18.14,19.65,中等风险
280,301301.SZ,川宁生物,63.0,52.8,83.8,50.0,看涨,10.68,11.54,中等风险
281,920171.BJ,志晟信息,63.0,54.5,82.0,50.1,看涨,21.47,23.62,中等风险
282,601006.SH,大秦铁路,62.9,59.8,75.9,49.5,看涨,4.99,5.12,低风险
283,600928.SH,西安银行,62.9,55.4,83.8,45.8,偏多震荡,3.68,3.89,中等风险
284,601077.SH,渝农商行,62.9,57.9,71.6,58.9,看涨,6.52,6.49,中等风险
285,003032.SZ,*ST传智,62.9,53.0,83.8,49.6,看涨,6.54,6.84,中等风险
286,301029.SZ,怡合达,62.9,63.8,74.0,46.0,偏多震荡,28.77,29.35,中等风险
287,301032.SZ,新柴股份,62.9,55.9,80.9,49.1,看涨,13.55,14.21,中等风险
288,603173.SH,福斯达,62.9,69.2,64.6,50.3,看涨,47.30,49.90,中等风险
