排名,代码,名称,综合评分,基本面,技术面,资金面,预测方向,目标价低,目标价高,风险等级
202,300015.SZ,爱尔眼科,51.5,55.4,50.0,47.2,偏空震荡,9.96,10.70,中等风险
203,002236.SZ,大华股份,51.5,65.5,38.4,47.5,偏空震荡,18.28,19.21,中等风险
204,300896.SZ,爱美客,51.5,55.0,51.1,46.5,震荡整理,139.57,150.91,中等风险
205,300308.SZ,中际旭创,51.3,76.2,27.2,45.3,看跌,525.13,558.52,高风险
206,301236.SZ,软通动力,51.3,48.2,50.0,58.0,震荡整理,45.61,49.39,中等风险
207,600183.SH,生益科技,51.2,70.8,24.1,57.8,震荡整理,60.00,68.50,高风险
208,600585.SH,海螺水泥,51.2,60.6,44.4,45.6,震荡整理,23.72,25.60,中等风险
209,601688.SH,华泰证券,51.1,54.8,41.6,58.5,震荡整理,21.41,22.95,中等风险
210,300014.SZ,亿纬锂能,51.1,55.6,41.6,57.2,震荡整理,60.84,66.72,中等风险
211,601390.SH,中国中铁,51.0,51.2,44.4,60.1,看涨,5.33,5.86,高风险
212,001979.SZ,招商蛇口,50.9,55.5,47.2,48.9,震荡整理,9.78,10.88,高风险
213,003816.SZ,中国广核,50.9,53.2,48.1,51.2,震荡整理,3.76,3.90,低风险
214,300999.SZ,金龙鱼,50.8,62.0,42.1,45.2,震荡整理,28.63,30.09,中等风险
215,601166.SH,兴业银行,50.7,56.2,36.5,61.9,偏多震荡,18.07,18.91,低风险
216,000063.SZ,中兴通讯,50.7,53.2,41.6,59.4,偏多震荡,35.94,38.38,中等风险
217,688396.SH,华润微,50.7,57.4,37.0,59.3,震荡整理,56.24,63.30,高风险
218,688981.SH,中芯国际,50.6,54.5,41.6,57.1,震荡整理,111.98,121.88,中等风险
219,002466.SZ,天齐锂业,50.6,57.8,38.4,56.3,震荡整理,48.50,53.98,高风险
220,601229.SH,上海银行,50.5,52.4,51.9,45.6,震荡整理,9.70,10.24,中等风险
221,600436.SH,片仔癀,50.5,49.8,50.0,52.4,偏空震荡,157.45,164.51,中等风险
222,601127.SH,赛力斯,50.4,60.9,41.6,46.1,偏空震荡,104.08,111.54,中等风险
223,600160.SH,巨化股份,50.4,71.0,30.9,44.6,偏空震荡,37.02,40.60,中等风险
224,300661.SZ,圣邦股份,50.4,58.1,38.4,55.0,震荡整理,66.43,74.39,高风险
225,600426.SH,华鲁恒升,50.3,52.1,42.5,58.3,震荡整理,33.44,37.82,高风险
226,601800.SH,中国交建,50.3,49.5,51.4,50.2,震荡整理,7.87,8.17,低风险
227,002938.SZ,鹏鼎控股,50.0,61.2,40.1,45.8,偏空震荡,52.86,57.17,高风险
228,600025.SH,华能水电,49.6,54.1,42.1,53.1,震荡整理,8.89,9.15,低风险
229,300433.SZ,蓝思科技,49.5,55.2,44.4,47.6,震荡整理,32.73,35.85,中等风险
230,000661.SZ,长春高新,49.5,50.2,50.0,47.6,偏空震荡,84.96,89.80,中等风险
231,688472.SH,阿特斯,49.4,42.9,57.5,48.3,震荡整理,13.28,15.32,高风险
232,000100.SZ,TCL科技,49.3,62.2,38.8,43.5,偏空震荡,4.38,4.74,中等风险
233,600030.SH,中信证券,49.2,65.0,30.3,50.4,偏空震荡,27.70,27.80,低风险
234,601288.SH,农业银行,49.2,55.9,44.4,45.3,偏空震荡,6.60,6.62,中等风险
235,688303.SH,大全能源,49.2,41.6,59.0,47.5,震荡整理,22.26,24.76,高风险
236,601012.SH,隆基绿能,49.1,40.9,60.0,46.8,震荡整理,17.19,19.07,高风险
237,000596.SZ,古井贡酒,49.1,60.8,37.3,46.9,偏空震荡,121.92,129.96,高风险
238,300628.SZ,亿联网络,49.0,66.2,29.3,49.2,看跌,35.81,37.07,中等风险
239,002304.SZ,洋河股份,48.8,51.8,47.5,45.9,偏空震荡,53.88,55.40,中等风险
240,688256.SH,寒武纪-U,48.7,73.5,23.0,44.8,看跌,1015.56,1148.00,高风险
241,601766.SH,中国中车,48.7,63.8,24.7,58.0,震荡整理,6.17,6.45,低风险
242,600309.SH,万华化学,48.6,51.0,47.2,46.6,震荡整理,79.98,89.94,高风险
243,600930.SH,华电新能,48.6,49.3,49.3,46.6,偏空震荡,5.84,5.94,低风险
244,600803.SH,新奥股份,48.5,57.5,35.4,52.4,偏空震荡,18.61,19.57,中等风险
245,002459.SZ,晶澳科技,48.4,35.0,65.0,46.4,震荡整理,11.08,12.66,高风险
246,603019.SH,中科曙光,48.3,50.6,47.8,45.3,震荡整理,88.65,94.75,中等风险
247,000786.SZ,北新建材,48.3,59.8,35.7,47.5,偏空震荡,25.72,28.38,高风险
248,000983.SZ,山西焦煤,48.2,44.5,49.6,52.1,偏多震荡,6.61,7.35,高风险
249,688126.SH,沪硅产业,48.1,41.1,57.0,46.8,震荡整理,19.65,21.51,中等风险
250,000876.SZ,新希望,48.1,56.0,40.6,46.0,偏空震荡,8.56,8.70,低风险
251,688506.SH,百利天恒,48.0,34.8,57.0,56.6,偏多震荡,271.75,302.25,高风险
252,600188.SH,兖矿能源,47.6,47.2,48.8,46.4,震荡整理,16.45,18.25,高风险
253,002594.SZ,比亚迪,47.5,53.9,41.6,45.6,偏空震荡,86.94,91.59,中等风险
